id,Nombre,Email,Pais,Genero,Edad,Antigüedad,FacturacionTotal,PuntuacionCrediticia,CantidadProductos,PoseeTarjetaCredito,MiembroActivo,SalarioEstimado,VelocidadServicio,Abandono
15638513,Estrella de Alvarado,roxanafuster@rodenas.org,Argentina,Femenino,40,7,142856.95,723,2,No,No,38019.74,500Mb,Si
15805303,Dora Nieves Lerma Zurita,maximino90@gmail.com,Brasil,Masculino,44,1,141136.62,661,1,Si,No,189742.78,500Mb,Si
15685844,Adelina Contreras Cervera,somozaeufemia@revilla.es,Brasil,Femenino,35,8,141665.63,518,1,No,Si,192776.64,1GB,No
15658693,Ale del Portero,gisela65@amores.es,Argentina,Femenino,60,2,0.0,827,2,No,Si,60615.83,1GB,No
15676091,Salvador Ángel Gimeno,maximino64@navarrete-gonzalo.com,Argentina,Masculino,42,7,0.0,543,1,Si,Si,56650.47,500Mb,Si
15603096,Victorino del Gonzalo,isamascaro@hotmail.com,Argentina,Masculino,33,6,125789.69,410,1,No,No,66333.56,20GB,Si
15600357,Marcia Jiménez-Sanabria,piquercruz@quesada-abascal.net,Argentina,Femenino,40,1,140197.71,495,2,Si,No,150720.39,100GB,No
15768124,Azahara Ugarte Cárdenas,ordonezmirta@pablo.com,Argentina,Femenino,34,3,0.0,648,1,Si,No,54726.43,100GB,No
15590676,Montserrat Mateu Quirós,chamorroesmeralda@hierro-sotelo.es,Argentina,Masculino,34,1,141796.43,735,1,Si,No,45858.49,2GB,No
15760121,Heraclio Antúnez Julián,gcortina@gmail.com,Argentina,Masculino,32,9,100606.02,712,1,Si,No,165693.06,20GB,No
15806455,Valentín del Acosta,bcampo@hotmail.com,Argentina,Masculino,27,7,0.0,611,2,Si,Si,157474.1,2GB,No
15710161,Jose Miguel Camilo Benavente Perez,otilia20@minguez.es,Argentina,Femenino,34,2,0.0,850,2,Si,Si,171706.66,2GB,No
15745605,Marianela Estévez Palomares,peralsebastian@yahoo.com,Argentina,Femenino,47,2,88011.4,722,1,Si,Si,90655.94,100GB,Si
15604544,Fabio Mateo Castell Mate,spareja@hotmail.com,Brasil,Masculino,40,4,166082.15,850,2,No,Si,44406.17,2GB,No
15706269,Margarita Arana-Andreu,corona97@macias.net,Argentina,Femenino,47,8,103894.38,489,2,Si,Si,107625.46,1GB,No
15792607,Ainara Seguí-Reguera,rafapont@perales.com,Argentina,Femenino,38,2,0.0,769,2,No,No,75578.67,20GB,No
15602994,Inocencio Marin Godoy,zcoll@yahoo.com,Argentina,Femenino,53,10,89550.85,487,1,No,Si,90076.85,2GB,No
15567063,Adelardo Hervás Linares,utello@godoy.com,Brasil,Femenino,34,6,106434.94,766,1,No,Si,137995.66,500Mb,Si
15600781,Lucas Valera Peral,cabanasfeliciana@hotmail.com,Brasil,Masculino,34,4,185173.81,699,2,Si,No,120834.48,20GB,No
15738166,Luis Miguel Exposito Hernandez,pili15@gmail.com,Argentina,Femenino,39,10,86546.29,596,1,No,Si,131768.98,1GB,No
15713599,Serafina del Pozuelo,landres@pons-lastra.com,Argentina,Masculino,30,10,114835.43,728,1,No,Si,37662.49,1GB,No
15613886,Domitila Isern Alcázar,florinda97@gmail.com,Chile,Masculino,43,1,0.0,722,1,Si,No,44560.17,1GB,Si
15803457,Dimas Morata Calleja,benitezadelina@yahoo.com,Argentina,Femenino,32,5,0.0,750,2,Si,No,95611.47,1GB,No
15684042,Emilio Molina,custodiatejera@gmail.com,Brasil,Masculino,34,2,40105.51,636,2,No,Si,53512.16,500Mb,Si
15686219,Olga Benitez Doménech,maestreesperanza@hotmail.com,Argentina,Masculino,38,4,71018.6,611,2,Si,No,2444.29,100GB,No
